iter	Logloss
0	0.6872693727
1	0.6812845948
2	0.675367268
3	0.6699392635
4	0.6649563223
5	0.6603509875
6	0.6566684939
7	0.6530455112
8	0.6491475689
9	0.6458213534
10	0.6426864366
11	0.6398084136
12	0.6370652379
13	0.6347908894
14	0.6322233013
15	0.6302444376
16	0.6285158891
17	0.6266932758
18	0.6248440654
19	0.6230093816
20	0.6216301695
21	0.620016275
22	0.6185344995
23	0.617364351
24	0.6163407736
25	0.6150560391
26	0.6138590868
27	0.6129542313
28	0.612232939
29	0.611554838
30	0.610777793
31	0.6099034123
32	0.6090292651
33	0.6082668897
34	0.607518324
35	0.6069829776
36	0.6063747946
37	0.6057440433
38	0.6051218473
39	0.6046199538
40	0.6042013148
41	0.6037224637
42	0.6033089998
43	0.6028947935
44	0.6025466992
45	0.6021940521
46	0.6018287957
47	0.6014164116
48	0.6009799406
49	0.6007058416
50	0.6004708292
51	0.6001339855
52	0.5998343931
53	0.5995279969
54	0.5993572507
55	0.599049237
56	0.598836498
57	0.5985336156
58	0.5982794533
59	0.5979229679
60	0.5976431678
61	0.5974478788
62	0.5971867955
63	0.5969719395
64	0.5967417993
65	0.5965275823
66	0.5963569131
67	0.5960786281
68	0.5959131714
69	0.5956636881
70	0.5954450681
71	0.5952553571
72	0.5950944046
73	0.5949365236
74	0.5947504163
75	0.5946050971
76	0.5944839426
77	0.5942925221
78	0.5941140694
79	0.5939792927
80	0.5938331867
81	0.5937144036
82	0.5935522869
83	0.5934074411
84	0.5932133474
85	0.5930708699
86	0.5929483503
87	0.5927573733
88	0.5926576361
89	0.5924848345
90	0.5923872558
91	0.5922239376
92	0.5920481721
93	0.5919145428
94	0.5917415062
95	0.5916089607
96	0.5915273816
97	0.5913953105
98	0.5912687522
99	0.5911610084
100	0.5910320179
101	0.5909180478
102	0.590797843
103	0.5906599087
104	0.5904928467
105	0.5903357291
106	0.5901867042
107	0.5901429294
108	0.5899845158
109	0.5898808451
110	0.589745537
111	0.5896919815
112	0.589596039
113	0.5895506707
114	0.5894166501
115	0.5893168892
116	0.5892518489
117	0.5891618293
118	0.5890393758
119	0.5889211669
120	0.5888371649
121	0.5887623052
122	0.5886556028
123	0.5885444829
124	0.5884627392
125	0.5883984214
126	0.5882436921
127	0.5881232296
128	0.5879898763
129	0.5879126061
130	0.5878457654
131	0.5877422941
132	0.5876357791
133	0.5874779246
134	0.5874385021
135	0.587312953
136	0.587229871
137	0.5871015121
138	0.586967081
139	0.586920454
140	0.5868469985
141	0.5867601187
142	0.5866635033
143	0.5865229817
144	0.5863896683
145	0.5863055623
146	0.5862457552
147	0.5861727326
148	0.586078513
149	0.5859633395
150	0.5858613765
151	0.5857162164
152	0.5856533858
153	0.5855960124
154	0.5855503848
155	0.5854520638
156	0.5853722472
157	0.5853299635
158	0.5852946479
159	0.5852066249
160	0.5850751105
161	0.5849526278
162	0.5848734757
163	0.5848211235
164	0.5847429376
165	0.5846709499
166	0.5845837693
167	0.5844832411
168	0.5843706162
169	0.584271067
170	0.584208304
171	0.5841424221
172	0.5840737121
173	0.5839835646
174	0.583922275
175	0.5838039241
176	0.5837199403
177	0.5836826104
178	0.5836112812
179	0.5835553548
180	0.5834743345
181	0.5833852665
182	0.5833081386
183	0.5832241629
184	0.5831504575
185	0.5830964838
186	0.5830123554
187	0.5828973505
188	0.5828472613
189	0.5828064801
190	0.5827325655
191	0.582660556
192	0.5825997286
193	0.5825152012
194	0.5824208924
195	0.5823564881
196	0.5823168861
197	0.5822713176
198	0.5822000632
199	0.5821641299
200	0.5820347143
201	0.5819838471
202	0.5819246504
203	0.581854795
204	0.581821822
205	0.5817524256
206	0.5816758637
207	0.5816037561
208	0.5815572704
209	0.581503334
210	0.5814359852
211	0.5813894785
212	0.5813065521
213	0.581219308
214	0.5811710678
215	0.5810831189
216	0.58098725
217	0.5809041931
218	0.5808112531
219	0.5807675704
220	0.5807121358
221	0.5806656486
222	0.5805482929
223	0.5804819902
224	0.5803976674
225	0.5803749917
226	0.5803385373
227	0.5802372037
228	0.5801584379
229	0.5801131204
230	0.5800666434
231	0.5800095029
232	0.5799716924
233	0.5798948415
234	0.5798217489
235	0.5796962444
236	0.5796281274
237	0.5795950812
238	0.5795322945
239	0.5794779159
240	0.5794313546
241	0.5793472234
242	0.5792854237
243	0.579241725
244	0.5791504395
245	0.5790727996
246	0.5790003587
247	0.5789157297
248	0.5788409644
249	0.5787454067
250	0.5786831958
251	0.5785967061
252	0.5785133959
253	0.5784358188
254	0.5783838953
255	0.5783475911
256	0.5783260742
257	0.5782841234
258	0.5781783972
259	0.5781089696
260	0.5780513695
261	0.577997609
262	0.5779142342
263	0.577837054
264	0.5777314454
265	0.5776646363
266	0.5776077119
267	0.5774812769
268	0.5773901219
269	0.5772979161
270	0.5772408853
271	0.5771631354
272	0.5771281111
273	0.5770332369
274	0.5769549831
275	0.5768960451
276	0.5768249821
277	0.576784003
278	0.5766888503
279	0.5766333905
280	0.5764705456
281	0.5764249546
282	0.5763434579
283	0.5762736623
284	0.576224111
285	0.5761414834
286	0.5760715133
287	0.5760025218
288	0.5759225713
289	0.5758778461
290	0.5757745682
291	0.5756941781
292	0.575660056
293	0.575546288
294	0.5755015502
295	0.5754359289
296	0.5753655648
297	0.5753048756
298	0.5752226731
299	0.5750955436
300	0.5750456344
301	0.5749484437
302	0.5748515772
303	0.574792795
304	0.5747360727
305	0.5746671432
306	0.5745698811
307	0.5745155437
308	0.5743753141
309	0.5743321005
310	0.5742979404
311	0.5742220298
312	0.5741847724
313	0.5740890563
314	0.5739960813
315	0.5739062489
316	0.573784709
317	0.5737539557
318	0.5735919043
319	0.5735373719
320	0.5734589054
321	0.5733696334
322	0.5732677516
323	0.5731502212
324	0.5730778366
325	0.5730001594
326	0.5729770602
327	0.5729335303
328	0.572830523
329	0.5727647234
330	0.5726943011
331	0.5726435075
332	0.5725724959
333	0.5724657746
334	0.5723516398
335	0.5722399274
336	0.5721309947
337	0.5720050436
338	0.5719791636
339	0.5719221234
340	0.571824984
341	0.5717813055
342	0.5717070472
343	0.5716041526
344	0.5715889668
345	0.5714789561
346	0.571386172
347	0.5713400888
348	0.5712470914
349	0.5711670354
350	0.5711311399
351	0.5711115198
352	0.5710768855
353	0.5710619105
