iter	Passed	Remaining
476	14697	16114
477	14728	16084
478	14757	16051
479	14787	16020
480	14817	15987
481	14846	15954
482	14878	15925
483	14907	15893
484	14938	15862
485	14970	15832
486	15003	15804
487	15036	15776
488	15071	15749
489	15104	15721
490	15141	15697
491	15173	15667
492	15206	15638
493	15240	15611
494	15273	15582
495	15309	15556
496	15344	15529
497	15378	15501
498	15407	15469
499	15439	15439
500	15472	15410
501	15506	15383
502	15539	15354
503	15573	15326
504	15604	15295
505	15637	15267
506	15670	15237
507	15705	15210
508	15735	15178
509	15765	15147
510	15798	15118
511	15831	15088
512	15860	15056
513	15894	15028
514	15926	14998
515	15958	14968
516	15994	14942
517	16025	14911
518	16056	14881
519	16088	14850
520	16118	14819
521	16150	14788
522	16181	14758
523	16213	14728
524	16245	14698
525	16280	14670
526	16313	14642
527	16343	14609
528	16376	14580
529	16408	14551
530	16439	14519
531	16471	14489
532	16503	14460
533	16533	14427
534	16562	14395
535	16594	14365
536	16627	14336
537	16658	14304
538	16686	14271
539	16717	14240
540	16750	14211
541	16779	14179
542	16810	14148
543	16840	14116
544	16874	14087
545	16907	14059
546	16940	14029
547	16971	13998
548	17002	13967
549	17034	13936
550	17065	13906
551	17096	13875
552	17127	13844
553	17156	13811
554	17184	13778
555	17217	13749
556	17247	13717
557	17277	13685
558	17307	13653
559	17335	13620
560	17365	13589
561	17398	13559
562	17430	13529
563	17461	13498
564	17488	13464
565	17520	13434
566	17554	13405
567	17584	13373
568	17612	13341
569	17644	13310
570	17675	13280
571	17708	13250
572	17735	13216
573	17766	13185
574	17796	13154
575	17826	13122
576	17855	13089
577	17886	13059
578	17916	13027
579	17946	12995
580	17975	12963
581	18002	12929
582	18031	12897
583	18059	12864
584	18090	12833
585	18122	12803
586	18155	12773
587	18187	12743
588	18218	12712
589	18251	12682
590	18282	12652
591	18315	12623
592	18347	12592
593	18380	12563
594	18411	12532
595	18443	12502
596	18475	12471
597	18509	12443
598	18549	12418
599	18586	12390
600	18618	12360
601	18651	12331
602	18681	12299
603	18715	12270
604	18742	12237
605	18778	12209
606	18835	12194
607	18872	12167
608	18902	12136
609	18934	12105
610	18967	12076
611	19002	12047
612	19036	12018
613	19069	11988
614	19103	11959
615	19134	11927
616	19162	11895
617	19192	11863
618	19223	11832
619	19254	11801
620	19282	11768
621	19310	11735
622	19343	11705
623	19375	11674
624	19405	11643
625	19434	11610
626	19465	11580
627	19496	11549
628	19526	11517
629	19555	11484
630	19583	11452
631	19611	11419
632	19641	11387
633	19672	11356
634	19702	11324
635	19731	11292
636	19763	11262
637	19793	11230
638	19823	11199
639	19854	11168
640	19887	11138
641	19916	11105
642	19944	11073
643	19976	11042
644	20007	11011
645	20037	10980
646	20066	10948
647	20095	10916
648	20125	10884
649	20153	10851
650	20182	10819
651	20214	10789
652	20243	10757
653	20276	10727
654	20308	10696
655	20334	10663
656	20366	10632
657	20392	10599
658	20423	10568
659	20455	10537
660	20485	10505
661	20515	10474
662	20545	10443
663	20577	10412
664	20615	10385
665	20647	10354
666	20683	10326
667	20716	10296
668	20746	10264
669	20775	10232
670	20806	10201
671	20835	10169
672	20865	10138
673	20895	10106
674	20926	10075
675	20953	10042
676	20984	10011
677	21014	9980
678	21045	9949
679	21078	9919
680	21109	9888
681	21140	9857
682	21173	9827
683	21207	9797
684	21240	9767
685	21271	9736
686	21304	9706
687	21336	9676
688	21370	9645
689	21402	9615
690	21436	9586
691	21469	9555
692	21507	9527
693	21540	9497
694	21575	9468
695	21608	9438
696	21641	9408
697	21673	9377
698	21706	9346
699	21736	9315
700	21769	9285
701	21801	9254
702	21836	9225
703	21867	9194
704	21899	9163
705	21928	9131
706	21957	9099
707	21987	9068
708	22018	9037
709	22046	9005
710	22078	8974
711	22110	8943
712	22141	8912
713	22174	8882
714	22204	8850
715	22235	8819
716	22268	8789
717	22298	8757
718	22331	8727
719	22365	8697
720	22396	8666
721	22426	8635
722	22457	8604
723	22489	8573
724	22518	8541
725	22549	8510
726	22580	8479
727	22613	8448
728	22642	8417
729	22673	8385
730	22705	8355
731	22738	8324
732	22765	8292
733	22799	8262
734	22834	8232
735	22866	8202
736	22899	8171
737	22933	8141
738	22965	8111
739	22999	8080
740	23030	8049
741	23061	8018
742	23093	7987
743	23122	7956
744	23151	7924
745	23182	7893
746	23215	7862
747	23247	7832
748	23278	7800
749	23311	7770
750	23342	7739
751	23372	7707
752	23399	7675
753	23431	7644
754	23465	7614
755	23496	7583
756	23531	7553
757	23562	7522
758	23593	7491
759	23623	7460
760	23658	7430
761	23689	7398
762	23720	7367
763	23750	7336
764	23781	7305
765	23813	7274
766	23842	7243
767	23872	7211
768	23903	7180
769	23931	7148
770	23959	7116
771	23988	7084
772	24016	7052
773	24044	7020
774	24075	6989
775	24105	6958
776	24137	6927
777	24169	6896
778	24200	6865
779	24232	6834
780	24265	6804
781	24295	6772
782	24327	6742
783	24360	6711
784	24392	6680
785	24425	6650
786	24455	6618
787	24487	6588
788	24520	6557
789	24550	6526
790	24583	6495
791	24615	6464
792	24646	6433
793	24674	6401
794	24704	6370
795	24736	6339
796	24768	6308
797	24799	6277
798	24829	6246
799	24860	6215
800	24892	6184
801	24925	6153
802	24957	6122
803	24987	6091
804	25017	6060
805	25049	6029
806	25082	5998
807	25114	5967
808	25143	5936
809	25175	5905
810	25206	5874
811	25235	5842
812	25267	5811
813	25296	5780
814	25333	5750
815	25363	5719
816	25392	5687
817	25422	5656
818	25454	5625
819	25486	5594
820	25517	5563
821	25546	5531
822	25577	5500
823	25610	5470
824	25641	5439
825	25672	5407
826	25701	5376
827	25732	5345
828	25763	5314
829	25793	5282
830	25823	5251
831	25858	5221
832	25890	5190
833	25922	5159
834	25955	5128
835	25984	5097
836	26012	5065
837	26042	5034
838	26073	5003
839	26102	4971
840	26131	4940
841	26162	4909
842	26195	4878
843	26226	4847
844	26257	4816
845	26287	4785
846	26317	4753
847	26347	4722
848	26377	4691
849	26405	4659
850	26435	4628
851	26464	4597
852	26493	4565
853	26525	4534
854	26559	4504
855	26590	4473
856	26623	4442
857	26655	4411
858	26687	4380
859	26715	4349
860	26746	4318
861	26780	4287
862	26811	4256
863	26840	4224
864	26870	4193
865	26902	4162
866	26932	4131
867	26960	4099
868	26991	4068
869	27021	4037
870	27052	4006
871	27083	3975
872	27113	3944
873	27142	3912
874	27171	3881
875	27198	3850
876	27228	3818
877	27259	3787
878	27290	3756
879	27321	3725
880	27350	3694
881	27380	3663
882	27411	3632
883	27444	3601
884	27473	3569
885	27502	3538
886	27532	3507
887	27562	3476
888	27591	3445
889	27619	3413
890	27647	3382
891	27677	3351
892	27707	3319
893	27736	3288
894	27766	3257
895	27795	3226
896	27828	3195
897	27861	3164
898	27892	3133
899	27925	3102
900	27957	3071
901	27988	3040
902	28020	3009
903	28052	2979
904	28083	2948
905	28117	2917
906	28152	2886
907	28186	2855
908	28217	2824
909	28249	2793
910	28280	2762
911	28310	2731
912	28340	2700
913	28372	2669
914	28406	2638
915	28440	2608
916	28474	2577
917	28507	2546
918	28540	2515
919	28573	2484
920	28605	2453
921	28636	2422
922	28668	2391
923	28699	2360
924	28728	2329
925	28759	2298
926	28790	2267
927	28821	2236
928	28849	2204
929	28880	2173
930	28911	2142
931	28942	2111
932	28974	2080
933	29004	2049
934	29034	2018
935	29067	1987
936	29100	1956
937	29131	1925
938	29162	1894
939	29197	1863
940	29233	1832
941	29264	1801
942	29296	1770
943	29327	1739
944	29359	1708
945	29393	1677
946	29422	1646
947	29451	1615
948	29484	1584
949	29514	1553
950	29542	1522
951	29568	1490
952	29598	1459
953	29628	1428
954	29658	1397
955	29687	1366
956	29719	1335
957	29750	1304
958	29781	1273
959	29813	1242
960	29845	1211
961	29878	1180
962	29909	1149
963	29940	1118
964	29970	1087
965	30003	1056
966	30037	1025
967	30070	994
968	30102	963
969	30133	931
970	30165	900
971	30197	869
972	30228	838
973	30258	807
974	30291	776
975	30324	745
976	30357	714
977	30391	683
978	30425	652
979	30456	621
980	30489	590
981	30520	559
982	30551	528
983	30582	497
984	30614	466
985	30645	435
986	30675	404
987	30707	372
988	30736	341
989	30769	310
990	30800	279
991	30832	248
992	30864	217
993	30898	186
994	30932	155
995	30965	124
996	30997	93
997	31027	62
998	31061	31
999	31093	0
